product,feedback_id,source,timestamp,user_segment,region,area,text,sentiment_label,urgency_hint,rating
NovaSearch,fb_0025,twitter,2025-12-19T19:52:00Z,pro,EU,privacy_security,Need an option to delete my data permanently.,negative,4,
NovaSearch,fb_0053,discord,2025-12-20T12:42:00Z,enterprise,NA,ui_ux,The UI looks clean and modern — great job.,positive,1,
NovaSearch,fb_0046,in_app_form,2025-12-20T18:55:00Z,free_tier,NA,account_login,2FA codes don’t get delivered sometimes.,negative,4,
NovaSearch,fb_0066,support_ticket,2025-12-21T04:30:00Z,pro,APAC,account_login,Could you add Google/Apple sign-in?,neutral,2,
NovaSearch,fb_0010,email,2025-12-21T18:43:00Z,pro,EU,export_sharing,"Export works, but more formats would be useful.",neutral,3,
NovaSearch,fb_0007,support_ticket,2025-12-23T21:56:00Z,new_user,NA,notifications,Notifications arrive late and aren’t useful.,negative,4,
NovaSearch,fb_0055,discord,2025-12-23T22:04:00Z,enterprise,EU,ui_ux,The new UI is cluttered; I can’t find key actions.,negative,2,
NovaSearch,fb_0073,twitter,2025-12-25T02:08:00Z,power_user,APAC,export_sharing,Export to PDF fails for large results.,negative,4,
NovaSearch,fb_0056,twitter,2025-12-25T07:19:00Z,enterprise,EU,performance,The latest release feels much snappier.,positive,2,
NovaSearch,fb_0027,google_play,2025-12-25T08:28:00Z,free_tier,EU,export_sharing,Sharing is simple and exports are well formatted.,positive,1,4.0
NovaSearch,fb_0048,google_play,2025-12-25T13:41:00Z,new_user,EU,performance,Pages freeze when I scroll; it’s painful to use.,negative,2,3.0
NovaSearch,fb_0074,twitter,2025-12-25T20:59:00Z,pro,NA,export_sharing,Export to PDF fails for large results.,negative,4,
NovaSearch,fb_0021,app_store,2025-12-25T23:31:00Z,power_user,NA,ui_ux,Text is too small and contrast is low.,negative,5,2.0
NovaSearch,fb_0080,twitter,2025-12-26T21:49:00Z,power_user,NA,privacy_security,App feels trustworthy and privacy controls are appreciated.,positive,1,
NovaSearch,fb_0051,in_app_form,2025-12-27T00:46:00Z,power_user,NA,notifications,Notifications are helpful and timely.,positive,1,
NovaSearch,fb_0063,support_ticket,2025-12-28T08:08:00Z,pro,NA,performance,Super fast — results show up instantly.,positive,2,
NovaSearch,fb_0039,app_store,2025-12-28T12:04:00Z,enterprise,APAC,notifications,Too many notifications — it’s noisy.,negative,3,1.0
NovaSearch,fb_0047,google_play,2025-12-28T21:29:00Z,new_user,EU,billing,Billing was seamless and the receipt came instantly.,positive,1,5.0
NovaSearch,fb_0061,twitter,2025-12-28T21:33:00Z,new_user,EU,performance,"Performance is fine most of the time, but occasional slowdowns happen.",neutral,3,
NovaSearch,fb_0067,in_app_form,2025-12-28T22:55:00Z,power_user,LATAM,search_relevance,Love the new ranking — results are much better for my use cases.,positive,2,
NovaSearch,fb_0036,in_app_form,2025-12-29T02:27:00Z,power_user,APAC,billing,Billing was seamless and the receipt came instantly.,positive,1,
NovaSearch,fb_0044,email,2025-12-30T13:17:00Z,new_user,EU,export_sharing,Sharing is simple and exports are well formatted.,positive,1,
NovaSearch,fb_0065,support_ticket,2025-12-31T05:36:00Z,enterprise,APAC,performance,The latest release feels much snappier.,positive,1,
NovaSearch,fb_0042,app_store,2025-12-31T10:35:00Z,enterprise,EU,performance,"Performance is fine most of the time, but occasional slowdowns happen.",neutral,1,1.0
NovaSearch,fb_0004,twitter,2025-12-31T13:56:00Z,enterprise,LATAM,privacy_security,I can’t find clear privacy settings.,negative,4,
NovaSearch,fb_0035,app_store,2025-12-31T22:01:00Z,new_user,EU,billing,Cancellation didn’t work and I’m still being billed.,negative,4,5.0
NovaSearch,fb_0045,email,2026-01-01T10:20:00Z,free_tier,NA,notifications,"I turned notifications off, but they still show up.",negative,2,
NovaSearch,fb_0023,support_ticket,2026-01-01T12:01:00Z,power_user,NA,search_relevance,Autocomplete saves me time and feels accurate.,positive,1,
NovaSearch,fb_0012,discord,2026-01-01T16:19:00Z,enterprise,LATAM,privacy_security,I can’t find clear privacy settings.,negative,4,
NovaSearch,fb_0058,app_store,2026-01-01T20:25:00Z,power_user,EU,performance,Super fast — results show up instantly.,positive,1,3.0
NovaSearch,fb_0016,in_app_form,2026-01-02T00:51:00Z,free_tier,NA,onboarding,Onboarding is confusing — I don’t know what to do after sign-up.,negative,4,
NovaSearch,fb_0028,email,2026-01-02T04:16:00Z,enterprise,EU,billing,Invoice email never arrived; I need it for reimbursement.,negative,4,
NovaSearch,fb_0026,app_store,2026-01-02T16:14:00Z,pro,NA,privacy_security,App feels trustworthy and privacy controls are appreciated.,positive,1,2.0
NovaSearch,fb_0079,support_ticket,2026-01-02T18:26:00Z,new_user,APAC,onboarding,Onboarding was smooth and helped me understand the app quickly.,positive,2,
NovaSearch,fb_0015,app_store,2026-01-02T21:30:00Z,free_tier,LATAM,privacy_security,Privacy settings exist but could be easier to understand.,neutral,1,3.0
NovaSearch,fb_0018,google_play,2026-01-03T00:14:00Z,enterprise,APAC,ui_ux,The new UI is cluttered; I can’t find key actions.,negative,2,1.0
NovaSearch,fb_0043,discord,2026-01-03T07:42:00Z,enterprise,LATAM,privacy_security,Privacy settings exist but could be easier to understand.,neutral,2,
NovaSearch,fb_0062,survey,2026-01-03T11:56:00Z,pro,EU,search_relevance,"Relevance varies by query; some topics work, others don't.",neutral,3,3.0
NovaSearch,fb_0050,survey,2026-01-04T03:36:00Z,power_user,APAC,billing,Invoice email never arrived; I need it for reimbursement.,negative,5,1.0
NovaSearch,fb_0049,twitter,2026-01-04T08:03:00Z,pro,NA,account_login,Could you add Google/Apple sign-in?,neutral,1,
NovaSearch,fb_0006,app_store,2026-01-05T06:12:00Z,new_user,APAC,account_login,"Login works, but I'd like passkeys support.",neutral,2,3.0
NovaSearch,fb_0002,app_store,2026-01-05T10:08:00Z,new_user,LATAM,ui_ux,"UI is fine, but a few screens feel busy.",neutral,2,3.0
NovaSearch,fb_0077,in_app_form,2026-01-06T03:02:00Z,power_user,NA,pricing,Pricing is fair and the Pro plan is worth it for me.,positive,2,
NovaSearch,fb_0068,twitter,2026-01-06T06:00:00Z,power_user,LATAM,search_relevance,Filters don't help; I still see irrelevant results.,negative,4,
